本日零時到現在累積雨量                                                          
07-NOV-2020 00:00 ～ 07-NOV-2020 23:00                          
      1.0mm 大安     臺中市大安區                       
      1.0mm 深坑     新北市深坑區                       
      1.0mm 埔心     彰化縣埔心鄉                       
      1.0mm 旗山(4)  高雄市旗山區(第7河川局)             
      1.0mm 坪廓分校 臺中市太平區(水保局)                
      1.0mm 社后橋   新北市汐止區(十河局)                
      1.0mm 新社     臺中市新社區                       
      1.0mm 南庄(1)  苗栗縣南庄鄉(第2河川局)             
      1.0mm 茂林蝶谷 高雄世茂林區                       
      1.0mm 南湖圈谷 臺中市和平區                       
      1.0mm 內獅國小 屏東縣獅子鄉(水保局)                
      1.0mm 通霄     苗栗縣通霄鎮                       
      1.0mm 峨眉     新竹縣峨眉鄉                       
      1.0mm 二崙     雲林縣二崙鄉                       
      1.0mm 大埤     雲林縣大埤鄉                       
      1.0mm 新來義   屏東縣來義鄉(第7河川局)             
      1.0mm 和平     花蓮縣秀林鄉                       
      1.0mm 古夏     屏東縣三地門鄉(第7河川局)           
      1.0mm 和平林道 花蓮縣秀林鄉                       
      1.0mm 溪口     嘉義縣溪口鄉                       
      1.0mm 北寮     臺南市東山區(第5河川局)             
      1.0mm 關子嶺   臺南市白河區                       
      1.0mm 立山     花蓮縣卓溪鄉                       
      1.0mm 虎尾     雲林縣虎尾鎮                       
      1.0mm 二林     彰化縣二林鎮                       
      1.0mm 大庄合作 雲林縣二崙鄉(合作站)                
      1.0mm 下馬     臺東縣海端鄉                       
      1.0mm 臺南蘭花 臺南市後壁區(合作站)                
      1.0mm 國一N250 嘉義縣大林鎮(合作站)                
      1.0mm 西螺     雲林縣西螺鎮                       
      1.0mm 都歷     臺東縣成功鎮                       
      1.0mm 國三南深 臺北市南港區                       
      1.0mm 土庫     雲林縣土庫鎮                       
      1.0mm 武陵     臺東縣延平鄉(第8河川局)             
      1.0mm 莿桐     雲林縣莿桐鄉                       
      1.0mm 中和     新北市中和區                       
      1.0mm 石碇     新北市石碇區                       
      1.0mm 清水     宜蘭縣大同鄉(第1河川局)             
      1.0mm 臺大雲林 雲林縣虎尾鎮(合作站)                
      1.0mm 嘉義梅山 嘉義縣梅山鄉                       
      1.0mm 太平山(1 宜蘭縣南澳鄉(第1河川局)             
      1.0mm 礁溪     宜蘭縣礁溪鄉                       
      1.0mm 武塔     宜蘭縣南澳鄉(第1河川局)             
      1.0mm 恆春工作 屏東縣車城鄉(合作站)                
      1.0mm 新武(3)  臺東縣海端鄉(第8河川局)             
      1.0mm 鹿港     彰化縣鹿港鎮                       
      1.0mm 圓富國中 高雄市旗山區(第7河川局)             
      1.0mm 九如里   臺北市南港區(大地工程處)            
      1.0mm 富世     花蓮縣秀林鄉                       
      1.0mm 國一S123 苗栗縣頭屋鄉(合作站)                
      1.0mm 舊莊國小 臺北市南港區(水利處)                
      1.0mm 壽豐     花蓮縣壽豐鄉                       
      1.0mm 電光     臺東縣關山鎮(第8河川局)             
      1.0mm 鳳林     花蓮縣鳳林鎮                       
      1.0mm 明德     苗栗縣頭屋鄉                       
      1.0mm 古坑     雲林縣古坑鄉                       
      1.0mm 褒忠(2)  雲林縣褒忠鄉(第5河川局)             
      1.0mm 國三N191 彰化縣和美鎮(合作站)                
      1.0mm 苗栗農改 苗栗縣公館鄉(合作站)                
      1.0mm 關子嶺(2 臺南市白河區(第5河川局)             
      1.0mm 翠峰湖   宜蘭縣大同鄉                       
      1.0mm 斗南     雲林縣斗南鎮                       
      1.0mm 溪湖     彰化縣溪湖鎮                       
      1.0mm 玉里     花蓮縣玉里鎮                       
      1.0mm 西帽山   宜蘭縣南澳鄉                       
      1.0mm 大肚     臺中市大肚區                       
      1.0mm 農業試驗 臺中市霧峰區(合作站)                
      1.0mm 綠島     臺東縣綠島鄉                       
      1.0mm 國三S168 臺中市清水區(合作站)                
      1.0mm 卓清國小 花蓮縣卓溪鄉(第9河川局)             
      1.0mm 來義     屏東縣萬巒鄉                       
      1.0mm 花蓮農改 花蓮縣吉安鄉(合作站)                
      1.0mm 溪州     彰化縣溪州鄉                       
      1.0mm 太平國小 花蓮縣卓溪鄉(第9河川局)             
      0.5mm 埤頭     彰化縣埤頭鄉                       
      0.5mm 線西     彰化縣線西鄉                       
      0.5mm 烏日     臺中市烏日區                       
      0.5mm 大里     臺中市大里區                       
      0.5mm 柳營     臺南市柳營區                       
